OBJECTID;Locatable;Excavated;Kanton;Fieldname;Municipality;Literatur;Quality;Number of mounds;NEL;EBA;MBA;LBA;HaC;HaD;ELT;EMA;HaC1;HaC2;HaD1;HaD23;LTA;Periods;HA Subperiods;Status objects;Cluster ID;PM_Raster;PM_Point;Altitude;Slope;Profile Curvature;Tangential Curvature;Positive-Negative;Vegetation;Total Viewshed;Skyline;Visibility Alps;Accessibility;Movement;Crop Suitability;Land-use_categories;Oldest Period
84;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99878788;0.812715152;539.7929909;1.258822678;0.000947633;0.00043112;0.253665683;Mixed Forest;346.2428611;103.4545455;16.08571454;6638.177352;2.013499758;0.1458;Forests;
167;1;1;Bern;Grossholz II;Ins;;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0.938974362;0.814614103;590;0.032632883;5.93218E-05;-1.26649E-05;0.318858558;Mixed Forest;308.9076961;33.69230769;157.8923082;6635.073314;2.462780842;0.233178201;Forests;
134;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99846154;0.814692857;647.2420748;3.451891083;0.000311042;0.0012898;0.483870967;Mixed Forest;133.7384638;73.53846154;101.8153874;6710.764687;0.399356964;0.346655455;Forests;
86;1;1;Bern;Oberholz;Kernenried;Ramstein 2012;1;3;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0.99818182;0.815593182;519.055173;1.184357738;0.000200522;0.000155574;0.040322579;Mixed Forest;284.8720081;26.22727273;31.11200058;6536.218532;0.287936078;0.145794318;Forests;HAC
203;1;1;Fribourg;Balliswil;Düdingen;;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;2;1;0;1;0.962222223;0.816815278;604.3500824;2.37801519;-0.000367027;-0.000133613;0.268817206;Mixed Forest;61.62000084;13.08333333;0;6684.958415;0.002898851;0.232906902;Forests;
396;1;1;Bern;Birchiwald;Lyssach;"Bonstetten 1860, 6; Wiedmer-Stern 1912, 20-25; Tschumi 1915, 12-14; Drack 1960, 22-25; Schmid-Sikimi? 1996";1;5;0;0;0;0;1;0;0;1;1;1;0;0;0;2;2;0;1;0.99117647;0.816920513;526.4948102;3.535823976;-3.2285E-05;0.000280835;0.164611001;Mixed Forest;250.5515206;22.29411765;14.90303054;6561.822725;0.020735195;0.14577747;Forests;HAC
191;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99948718;0.819756548;681.6746216;4.290106737;0.000159049;1.95002E-05;0.739454095;Mixed Forest;112.9538474;18.07692308;110.3692339;7001.165115;0;0.344027769;Forests;
211;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.937948713;0.826508333;555.7314547;8.288126247;0.002023618;0.000598673;0.003722084;Mixed Forest;254.2000084;100.3076923;122.9166679;6301.794541;0;0.263860615;Forests;
158;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.932222217;0.828235897;679.9387105;7.297945261;6.38073E-05;-0.000326577;-0.047043009;Mixed Forest;69.27272901;13;215.2545554;6644.163192;0.019463713;0.020080845;Forests;
213;1;0;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.999607844;0.828678788;591.8294283;3.085551584;0.000412583;3.5338E-05;0.692599621;Mixed Forest;158.3333359;28.29411765;105.4555567;6721.889194;0.090075271;0.34992;Grassland;
